Year,Democratic,Republican,Others,TotalVotes,DemocraticPresident,RepublicanPresident,DemocraticVP,RepublicanVP,WinnerParty,DemocraticPopularVotes,RepublicanPopularVotes,OtherPopularVotes,DemocraticFirstName,DemocraticLastName,RepublicanFirstName,RepublicanLastName
2012,332,206,0,538,Barack Obama,Mitt Romney,,,Democratic,,,,Barack,Obama,Mitt,Romney
2008,365,173,0,538,Barack Obama,John McCain,Joe Biden,Sarah Palin,Democratic,65445394,57446223,1506933,Barack,Obama,John,McCain
2004,251,286,1,538,John Kerry,George W. Bush,John Edwards,Dick Cheney,Republican,59028439,62040610,1125278,John,Kerry,George,Bush
2000,266,271,1,538,Al Gore,George W. Bush,Joe Lieberman,Dick Cheney,Republican,50999897,50456002,3716281,Al,Gore,George,Bush
1996,379,159,0,538,Bill Clinton,Bob Dole,Al Gore,Jack Kemp,Democratic,45590703,37816307,9222030,Bill,Clinton,Bob,Dole
1992,370,168,0,538,Bill Clinton ,George H.W. Bush,Al Gore,Dan Quayle,Democratic,44909326,39103882,20140298,Bill,Clinton,George,Bush
1988,111,426,1,538,Michael Dukakis,George H.W. Bush,Lloyd M. Bentsen,Dan Quayle,Republican,41809476,48886597,648971,Michael,Dukakis,George,Bush
1984,13,525,0,538,Walter Mondale,Ronald Reagan,Geraldine Ferraro,George H.W. Bush,Republican,37577185,54455075,228111,Walter,Mondale,Ronald,Reagan
1980,49,489,0,538,Jimmy Carter,Ronald Reagan,Walter Mondale,George H.W. Bush,Republican,43904153,35483883,6872024,Jimmy,Carter,Ronald,Reagan
1976,297,240,1,538,Jimmy Carter,Gerald R. Ford,Walter Mondale,Bob Dole,Democratic,40830763,39147793,1257729,Jimmy,Carter,Gerald,Ford
1972,17,520,1,538,George McGovern,Richard Nixon ,Sargent Shriver,Spiro Agnew,Republican,29170383,47169911,1104542,George,McGovern,Richard,Nixon
1968,191,301,46,538,Hubert Humphrey,Richard Nixon,Edmund Muskie,Spiro Agnew,Republican,31275166,31785480,9906473,Hubert,Humphrey,Richard,Nixon
1964,486,52,0,538,Lyndon Johnson,Barry Goldwater,Hubert Humphrey,William Miller,Democratic,43129566,27178188,,Lyndon,Johnson,Barry,Goldwater
1960,303,219,15,537,John F. Kennedy,Richard Nixon,Lyndon Johnson,Henry Lodge,Democratic,34226731,34108157,,John,Kennedy,Richard,Nixon
1956,73,457,1,531,Adlai Stevenson,Dwight Eisenhower ,Estes Kefauver,Richard Nixon,Republican,26022752,35590472,107929,Adlai,Stevenson,Dwight,Eisenhower
1952,89,442,0,531,Adlai Stevenson,Dwight Eisenhower,John Sparkman,Richard Nixon,Republican,27314992,33936234,140746,Adlai,Stevenson,Dwight,Eisenhower
1948,303,189,39,531,Harry S. Truman,Thomas Dewey,Alben Barkley,Earl Warren,Democratic,24179345,21991291,2569470,Harry,Truman,Thomas,Dewey
1944,432,99,0,531,Franklin D. Roosevelt,Thomas Dewey,Harry Truman,John Bricker,Democratic,25612610,22117617,,Franklin,Roosevelt,Thomas,Dewey
1940,449,82,0,531,Franklin D. Roosevelt,Wendell Willkie,Henry Wallace,Charles McNary,Democratic,27313041,22348480,116599,Franklin,Roosevelt,Wendell,Willkie
1936,523,8,0,531,Franklin D. Roosevelt,Alfred Landon,John Garner,Frank Knox,Democratic,27757333,16684231,1080288,Franklin,Roosevelt,Alfred,Landon
1932,472,59,0,531,Franklin D. Roosevelt ,Herbert C. Hoover,John Garner,Charles Curtis,Democratic,22829501,15760684,988088,Franklin,Roosevelt,Herbert,Hoover
1928,87,444,0,531,Alfred E. Smith,Herbert C. Hoover,Joseph Robinson,Charles Curtis,Republican,15007698,21437277,267478,Alfred,Smith,Herbert,Hoover
1924,136,382,13,531,John Davis,Calvin Coolidge ,Charles Bryan,Charles Dawes,Republican,8386704,15719921,4822856,John,Davis,Calvin,Coolidge
1920,127,404,0,531,James Cox,Warren G. Harding,Franklin D. Roosevelt,Calvin Coolidge ,Republican,9133092,16153115,1367878,James,Cox,Warren,Harding
1916,277,254,0,531,Woodrow Wilson,Charles Hughes,Thomas Marshall,Charles Fairbanks,Democratic,9126300,8546789,811826,Woodrow,Wilson,Charles,Hughes
1912,435,8,88,531,Woodrow Wilson,William Taft,Thomas Marshall,Nicholas Butler,Democratic,6293152,3483922,5228914,Woodrow,Wilson,William,Taft
1908,162,321,0,483,William Bryan,William Taft,John Kern,James Sherman,Republican,6406801,7676258,674939,William,Bryan,William,Taft
1904,140,336,0,476,Alton Parker,Theodore Roosevelt ,Henry Davis,Charles Fairbanks,Republican,5082898,7626593,775975,Alton,Parker,Theodore,Roosevelt
1900,155,292,0,447,William Bryan,William McKinley,Adlai Stevenson,Theodore Roosevelt,Republican,6358345,7218039,210867,William,Bryan,William,McKinley
1896,176,271,0,447,William Bryan,William McKinley,Arthur Sewall,Garret Hobart,Republican,6511495,7108480,258433,William,Bryan,William,McKinley
1892,277,145,22,444,Grover Cleveland ,Benjamin Harrison,Adlai Stevenson,Whitelaw Reid,Democratic,5551883,5179244,1298218,Grover,Cleveland,Benjamin,Harrison
1888,168,233,0,401,Grover Cleveland,Benjamin Harrison,Allen Thurman,Levi Morton,Republican,5534488,5443892,399132,Grover,Cleveland,Benjamin,Harrison
1884,219,182,0,401,Grover Cleveland ,James G. Blaine,Thomas Hendricks,John Logan,Democratic,4874621,4848936,285184,Grover,Cleveland,James,Blaine
1880,155,214,0,369,Winfield S. Hancock,James Garfield,William English,Chester Arthur,Republican,4444260,4446158,306135,Winfield,Hancock,James,Garfield
1876,184,185,0,369,Samuel Tilden,Rutherford B. Hayes,Thomas Hendricks,William Wheeler,Republican,4288546,4034311,,Samuel,Tilden,Rutherford,Hayes
1872,62,286,1,349,Horace Greeley,Ulysses S. Grant,B. Gratz Brown,Henry Wilson,Republican,2834761,3598235,,Horace,Greeley,Ulysses,Grant
1868,80,214,0,294,Horatio Seymour,Ulysses S. Grant ,"Francis Blair, Jr.",Schuyler Colfax,Republican,2708744,3013650,,Horatio,Seymour,Ulysses,Grant
1864,21,212,0,233,George B. McClellan,Abraham Lincoln,George Pendleton,Andrew Johnson,Republican,1812807,2218388,,George,McClellan,Abraham,Lincoln
1860,12,180,111,303,Stephen Douglas,Abraham Lincoln,Herschel Johnson,Hannibal Hamlin,Republican,1381944,1865908,1438965,Stephen,Douglas,Abraham,Lincoln
1856,174,114,8,296,James Buchanan,John Frémont,John Breckenridge,William Dayton,Democratic,1836072,1342345,872703,James,Buchanan,John,Fremont
1852,254,0,42,296,Franklin Pierce,,William King,,Democratic,1607510,,1542741,Franklin,Pierce,,
1848,127,0,163,290,Lewis Cass,,William O. Butler,,,1223460,,1390540,Lewis,Cass,,
1844,170,0,105,275,James K. Polk,,George M. Dallas,,Democratic,1339494,,1300004,James,Polk,,
1840,60,0,234,294,Martin Van Buren,,Richard Johnson,,,1128854,,1275390,Martin,Buren,,
1836,170,0,124,294,Martin Van Buren,,Richard Johnson ,,Democratic,764176,,738124,Martin,Buren,,
1832,219,0,67,286,Andrew Jackson,,Martin Van Buren ,,Democratic,701780,,584022,Andrew,Jackson,,
1828,178,0,83,261,Andrew Jackson,,John Calhoun ,,Democratic,642553,,500897,Andrew,Jackson,,
1824,0,0,253,253,,,,,,,,352970,,,,
1820,0,231,1,232,,John Quincy Adams,,Richard Stockton ,,,,,,,John,Adams
1816,0,0,217,217,,,,,,,,,,,,
1812,0,0,217,217,,,,,,,,,,,,
1808,0,0,175,175,,,,,,,,,,,,
1804,0,0,176,176,,,,,,,,,,,,
1800,0,0,276,276,,,,,,,,,,,,
1796,0,0,276,276,,,,,,,,,,,,
1792,0,0,264,264,,,,,,,,,,,,
1789,0,0,138,138,,,,,,,,,,,,
