Year,Democratic,Republican,Others,DemocraticPresident,RepublicanPresident,Democratic VP Candidate,Republican VP Candidate,Winner (name of party),Democratic Popular Votes,Republican Popular Votes,Other Popular Votes
2012,303,206,0,Obama,Romney,,,,,,
2008,361,175,0,Obama,McCain,,,,,,
2004,251,286,0,Kerry,Bush,,,,,,
2000,266,271,0,Gore,Bush,,,,,,
1996,379,159,0,Clinton,Dole,,,,,,
1992,370,168,0,Clinton,Bush,,,,,,
1988,426,111,1,Bush,Dukakis,,,,,,
1984,,,,,,,,,,,
1980,,,,,,,,,,,
1976,,,,,,,,,,,
1972,,,,,,,,,,,
1968,,,,,,,,,,,
1964,,,,,,,,,,,
1960,,,,,,,,,,,
1956,,,,,,,,,,,
1952
1948
1944
1940
1936
1932
