Year,Democratic,Republican,Others,TotalVotes,Repeat,IncumbentLose,DemocraticTerm,RepublicanTerm,DemocraticPresident,RepublicanPresident,DemocraticVP,RepublicanVP,WinnerParty,LoserParty,DemocraticPopularVotes,RepublicanPopularVotes,OtherPopularVotes,DemocraticFirstName,DemocraticLastName,RepublicanFirstName,RepublicanLastName,WinningCandidate,RunnerUp
2012,332,206,0,538,TRUE,,2nd Term,,Barack Obama,Mitt Romney,,,Democratic,Republican,,,,Barack,Obama,Mitt,Romney,Barack Obama,Mitt Romney
2008,365,173,0,538,,,,,Barack Obama,John McCain,Joe Biden,Sarah Palin,Democratic,Republican,65445394,57446223,1506933,Barack,Obama,John,McCain,Barack Obama,John McCain
2004,251,286,1,538,TRUE,,,2nd Term,John Kerry,George W. Bush,John Edwards,Dick Cheney,Republican,Democratic,59028439,62040610,1125278,John,Kerry,George,Bush,George W. Bush,John Kerry
2000,266,271,1,538,,,,,Al Gore,George W. Bush,Joe Lieberman,Dick Cheney,Republican,Democratic,50999897,50456002,3716281,Al,Gore,George,Bush,George W. Bush,Al Gore
1996,379,159,0,538,TRUE,,2nd Term,,Bill Clinton,Bob Dole,Al Gore,Jack Kemp,Democratic,Republican,45590703,37816307,9222030,Bill,Clinton,Bob,Dole,Bill Clinton,Bob Dole
1992,370,168,0,538,,TRUE,,,Bill Clinton ,George H.W. Bush,Al Gore,Dan Quayle,Democratic,Republican,44909326,39103882,20140298,Bill,Clinton,George,Bush,Bill Clinton,George H.W. Bush
1988,111,426,1,538,,,,,Michael Dukakis,George H.W. Bush,Lloyd M. Bentsen,Dan Quayle,Republican,Democratic,41809476,48886597,648971,Michael,Dukakis,George,Bush,George H.W. Bush,Michael Dukakis
1984,13,525,0,538,TRUE,,,,Walter Mondale,Ronald Reagan,Geraldine Ferraro,George H.W. Bush,Republican,Democratic,37577185,54455075,228111,Walter,Mondale,Ronald,Reagan,Ronald Reagan,Walter Mondale
1980,49,489,0,538,,,,,Jimmy Carter,Ronald Reagan,Walter Mondale,George H.W. Bush,Republican,Democratic,43904153,35483883,6872024,Jimmy,Carter,Ronald,Reagan,Ronald Reagan,Jimmy Carter
1976,297,240,1,538,,TRUE,,,Jimmy Carter,Gerald R. Ford,Walter Mondale,Bob Dole,Democratic,Republican,40830763,39147793,1257729,Jimmy,Carter,Gerald,Ford,Jimmy Carter,Gerald R. Ford
1972,17,520,1,538,TRUE,,,,George McGovern,Richard Nixon ,Sargent Shriver,Spiro Agnew,Republican,Democratic,29170383,47169911,1104542,George,McGovern,Richard,Nixon,Richard Nixon ,George McGovern
1968,191,301,46,538,,,,,Hubert Humphrey,Richard Nixon,Edmund Muskie,Spiro Agnew,Republican,Democratic,31275166,31785480,9906473,Hubert,Humphrey,Richard,Nixon,Richard Nixon ,Hubert Humphrey
